17.5	18.7	17.6
17.5	18.6	17.5
17.4	18.7	17.7
17.5	18.8	17.5
17.5	18.6	17.7
17.4	18.7	17.7
17.5	18.6	17.8
17.5	18.6	17.6
17.5	18.6	17.5
17.4	18.6	17.4
17.6	18.6	17.5
17.6	18.4	17.6
17.4	18.5	17.6
17.4	18.7	17.5
17.3	18.7	17.5
17.7	18.6	17.5
18	18.5	17.6
17.5	18.4	17.5
17.5	18.4	17.6
17.4	19.1	17.6
17.5	18.9	17.5
17.6	19	17.5
17.4	18.9	17.4
17.3	19.2	17.6
17.3	18.9	17.6
17.3	19.1	17.5
17.4	18.9	17.5
17.4	18.7	17.4
17.4	18.8	17.5
17.4	18.9	17.7
17.4	18.9	17.6
17.4	18.7	17.6
17.6	19.3	17.5
17.4	18.8	17.3
17.4	19.2	17.5
17.5	19.1	17.5
17.7	18.9	17.6
17.9	18.9	17.5
17.6	18.8	17.4
17.6	18.8	17.5
17.6	18.9	17.4
17.6	19.1	17.6
17.5	19.1	17.5
17.5	19.3	17.5
17.7	19.3	17.4
17.4	19.2	17.4
17.5	19.4	17.4
17.2	19.2	17.4
17.3	19.1	17.4
17.5	19.2	17.4
17.4	19.2	17.3
17.3	19.4	17.3
17.3	19.3	17.7
17.3	19.3	17.4
17.6	19.3	17.4
17.3	19.3	17.4
17.3	19.4	17.5
17.5	19.6	17.6
17.8	19.6	17.5
17.4	19.8	17.4
17.3	19.7	17.4
17.3	19.4	17.5
17.3	19.4	17.5
17.3	19.4	17.6
17.5	19.2	17.4
17.3	19.3	17.4
17.5	19.4	17.4
17.8	19.8	17.5
17.5	20	17.4
17.5	19.8	17.4
17.4	19.9	17.9
17.3	19.6	17.7
17.5	20	17.5
17.4	20.1	17.4
17.7	19.7	17.5
17.6	19.6	17.5
17.4	19.5	17.5
17.5	19.4	17.4
17.6	19.5	17.4
17.5	19.5	17.4
17.5	19.4	17.4
18.1	19.3	17.4
17.4	19.2	17.4
17.4	19.2	17.4
17.9	19	17.4
17.5	19	17.5
17.5	19	17.4
17.6	18.9	18.2
17.4	18.9	17.5
17.4	19	17.4
17.6	19.1	17.5
17.5	19.4	17.3
17.6	19.4	17.4
17.5	19.6	17.4
17.4	19.4	17.4
17.9	19.1	17.5
17.4	18.8	17.4
17.2	19	17.3
17.2	18.9	17.5
17.4	18.9	17.4
17.2	19.1	17.4
17.3	19.1	17.5
18.8	19.4	17.5
18.1	19.6	17.5
17.4	19.3	17.6
17.3	19.9	17.6
17.3	19.4	17.5
18.4	19.4	17.5
20.8	19.5	17.6
17.8	19.3	17.5
17.4	19.2	17.5
17.3	19	17.5
17.5	19.2	17.5
17.4	19.2	17.5
17.4	19.1	17.5
17.3	19.3	17.4
17.3	19.3	17.5
17.3	19.2	17.6
17.4	19.5	17.5
17.4	19.4	17.5
17.4	19.4	17.5
17.4	19.5	17.5
17.3	19.7	17.5
17.5	19.9	17.6
17.5	20.1	17.5
17.5	19.9	17.5
17.3	20.2	17.6
17.5	20	17.5
17.4	20.4	17.5
17.3	20.5	17.5
17.4	20.3	17.5
17.4	20.6	17.5
17.5	20.4	17.5
17.4	20.5	17.4
17.5	20.7	17.5
17.4	20.5	17.5
17.6	20.8	17.5
17.5	20.9	17.5
17.3	20.8	17.5
17.4	21.2	17.5
17.7	21.3	17.5
17.3	21.1	17.5
